"Name","Pos","Team","ETR_Rank","Pos_Rank"
"Stefon Diggs","WR","NE","81","WR42"
"Kaleb Johnson","RB","PIT","82","RB30"
"Travis Kelce","TE","KC","83","TE06"
"Matthew Golden","WR","GB","84","WR43"
"Josh Downs","WR","IND","85","WR44"
"Kyler Murray","QB","ARI","86","QB06"
"Patrick Mahomes","QB","KC","87","QB07"
"Jonnu Smith","TE","MIA","88","TE07"
"Michael Pittman","WR","IND","89","WR45"
"Darnell Mooney","WR","ATL","90","WR46"
"Jayden Reed","WR","GB","91","WR47"
"Brandon Aiyuk","WR","SF","92","WR48"
"Najee Harris","RB","LAC","93","RB31"
"Brian Robinson","RB","WAS","94","RB32"
"Baker Mayfield","QB","TB","95","QB08"
"Caleb Williams","QB","CHI","96","QB09"
"Brock Purdy","QB","SF","97","QB10"
"Justin Fields","QB","NYJ","98","QB11"
"Evan Engram","TE","DEN","99","TE08"
"Tyrone Tracy Jr.","RB","NYG","100","RB33"
"Zach Charbonnet","RB","SEA","101","RB34"
"Cam Skattebo","RB","NYG","102","RB35"
"David Njoku","TE","CLE","103","TE09"
"Rashid Shaheed","WR","NO","104","WR49"
"Jordan Mason","RB","MIN","105","RB36"
"Emeka Egbuka","WR","TB","106","WR50"
"Bo Nix","QB","DEN","107","QB12"
"Cooper Kupp","WR","SEA","108","WR51"
"Mark Andrews","TE","BAL","109","TE10"
"Travis Etienne","RB","JAX","110","RB37"
"Rhamondre Stevenson","RB","NE","111","RB38"
"Colston Loveland","TE","CHI","112","TE11"
"Javonte Williams","RB","DAL","113","RB39"
"Drake Maye","QB","NE","114","QB13"
"Dalton Kincaid","TE","BUF","115","TE12"
"Dak Prescott","QB","DAL","116","QB14"
"J.J. McCarthy","QB","MIN","117","QB15"
"Ricky Pearsall","WR","SF","118","WR52"
"Rachaad White","RB","TB","119","RB40"
"Dallas Goedert","TE","PHI","120","TE13"
"Tyler Warren","TE","IND","121","TE14"
"Jake Ferguson","TE","DAL","122","TE15"
"Tyjae Spears","RB","TEN","123","RB41"
"Bhayshul Tuten","RB","JAX","124","RB42"
"Jared Goff","QB","DET","125","QB16"
"Justin Herbert","QB","LAC","126","QB17"
"Tre Harris","WR","LAC","127","WR53"
"Christian Kirk","WR","HOU","128","WR54"
"Keon Coleman","WR","BUF","129","WR55"
"Jayden Higgins","WR","HOU","130","WR56"
"C.J. Stroud","QB","HOU","131","QB18"
"Trevor Lawrence","QB","JAX","132","QB19"
"Jordan Love","QB","GB","133","QB20"
"Tyler Allgeier","RB","ATL","134","RB43"
"Austin Ekeler","RB","WAS","135","RB44"
"Luther Burden III","WR","CHI","136","WR57"
"Jaydon Blue","RB","DAL","137","RB45"
"Marquise Brown","WR","KC","138","WR58"
"Rashod Bateman","WR","BAL","139","WR59"
"Kyle Pitts","TE","ATL","140","TE16"
"Jack Bech","WR","LV","141","WR60"
"Romeo Doubs","WR","GB","142","WR61"
"Tua Tagovailoa","QB","MIA","143","QB21"
"Trey Benson","RB","ARI","144","RB46"
"Marvin Mims Jr.","WR","DEN","145","WR62"
"Michael Penix Jr.","QB","ATL","146","QB22"
"Tucker Kraft","TE","GB","147","TE17"
"Isaac Guerendo","RB","SF","148","RB47"
"Isaiah Likely","TE","BAL","149","TE18"
"Cam Ward","QB","TEN","150","QB23"
"Quentin Johnston","WR","LAC","151","WR63"
"DEN DST","DST","DEN","152","DST01"
"Pat Freiermuth","TE","PIT","153","TE19"
"Tank Bigsby","RB","JAX","154","RB48"
"Jalen McMillan","WR","TB","155","WR64"
"Wan'Dale Robinson","WR","NYG","156","WR65"
"NYJ DST","DST","NYJ","157","DST02"
"Adam Thielen","WR","CAR","158","WR66"
"Bryce Young","QB","CAR","159","QB24"
"Ray Davis","RB","BUF","160","RB49"
"Brandon Aubrey","K","DAL","161","K01"
"Kyle Williams","WR","NE","162","WR67"
"SF DST","DST","SF","163","DST03"
"PIT DST","DST","PIT","164","DST04"
"Matt Gay","K","WAS","165","K02"
"HOU DST","DST","HOU","166","DST05"
"Mike Gesicki","TE","CIN","167","TE20"
"DAL DST","DST","DAL","168","DST06"
"ARI DST","DST","ARI","169","DST07"
"CHI DST","DST","CHI","170","DST08"
"SEA DST","DST","SEA","171","DST09"
"IND DST","DST","IND","172","DST10"
"Will Reichard","K","MIN","173","K03"
"Zach Ertz","TE","WAS","174","TE21"
"MIN DST","DST","MIN","175","DST11"
"LV DST","DST","LV","176","DST12"
"PHI DST","DST","PHI","177","DST13"
"Younghoe Koo","K","ATL","178","K04"
"Geno Smith","QB","LV","179","QB25"
"Xavier Legette","WR","CAR","180","WR68"
"Matthew Stafford","QB","LA","181","QB26"
"BAL DST","DST","BAL","182","DST14"
"CLE DST","DST","CLE","183","DST15"
"Justice Hill","RB","BAL","184","RB50"
"NYG DST","DST","NYG","185","DST16"
"Brenton Strange","TE","JAX","186","TE22"
"Cameron Dicker","K","LAC","187","K05"
"MIA DST","DST","MIA","188","DST17"
"BUF DST","DST","BUF","189","DST18"
"Chad Ryland","K","ARI","190","K06"
"Jake Bates","K","DET","191","K07"
"Cedric Tillman","WR","CLE","192","WR69"
"NE DST","DST","NE","193","DST19"
"Dalton Schultz","TE","HOU","194","TE23"
"Ka'imi Fairbairn","K","HOU","195","K08"
"Chris Boswell","K","PIT","196","K09"
"JAX DST","DST","JAX","197","DST20"
"Rico Dowdle","RB","CAR","198","RB51"
"DET DST","DST","DET","199","DST21"
"Hunter Henry","TE","NE","200","TE24"
"Chase McLaughlin","K","TB","201","K10"
"LA DST","DST","LA","202","DST22"
"Jake Elliott","K","PHI","203","K11"
"Will Shipley","RB","PHI","204","RB52"
"Brandon McManus","K","GB","205","K12"
"CAR DST","DST","CAR","206","DST23"
"CIN DST","DST","CIN","207","DST24"
"Josh Palmer","WR","BUF","208","WR70"
"GB DST","DST","GB","209","DST25"
"Braelon Allen","RB","NYJ","210","RB53"
"Spencer Shrader","K","IND","211","K13"
"NO DST","DST","NO","212","DST26"
"TB DST","DST","TB","213","DST27"
"Harrison Butker","K","KC","214","K14"
"Daniel Carlson","K","LV","215","K15"
"LAC DST","DST","LAC","216","DST28"
"Jason Sanders","K","MIA","217","K16"
"Evan McPherson","K","CIN","218","K17"
"Jerome Ford","RB","CLE","219","RB54"
"WAS DST","DST","WAS","220","DST29"
"Jaylen Wright","RB","MIA","221","RB55"
"KC DST","DST","KC","222","DST30"
"Demario Douglas","WR","NE","223","WR71"
"Dylan Sampson","RB","CLE","224","RB56"
"ATL DST","DST","ATL","225","DST31"
"MarShawn Lloyd","RB","GB","226","RB57"
"Jake Moody","K","SF","227","K18"
"Cade Otton","TE","TB","228","TE25"
"Daniel Jones","QB","IND","229","QB27"
"Blake Corum","RB","LA","230","RB58"
"Devin Neal","RB","NO","231","RB59"
"Tyler Loop","K","BAL","232","K19"
"Michael Wilson","WR","ARI","233","WR72"
"Joshua Karty","K","LA","234","K20"
"TEN DST","DST","TEN","235","DST32"
"DJ Giddens","RB","IND","236","RB60"
"Aaron Rodgers","QB","PIT","237","QB28"
"Tyler Bass","K","BUF","238","K21"
"Jaleel McLaughlin","RB","DEN","239","RB61"
"Roschon Johnson","RB","CHI","240","RB62"
"Jaylin Noel","WR","HOU","241","WR73"
"Mason Taylor","TE","NYJ","242","TE26"
"Woody Marks","RB","HOU","243","RB63"
"Chig Okonkwo","TE","TEN","244","TE27"
"Tyler Shough","QB","NO","245","QB29"
"Jarquez Hunter","RB","LA","246","RB64"
"Wil Lutz","K","DEN","247","K22"
"Sam Darnold","QB","SEA","248","QB30"
"Miles Sanders","RB","DAL","249","RB65"
"Jaxson Dart","QB","NYG","250","QB31"
"Ray-Ray McCloud","WR","ATL","251","WR74"
"John Parker Romo","K","NE","252","K23"
"Blake Grupe","K","NO","253","K24"
"Keaton Mitchell","RB","BAL","254","RB66"
"Alec Pierce","WR","IND","255","WR75"
"Noah Gray","TE","KC","256","TE28"
"Tahj Brooks","RB","CIN","257","RB67"
"Jordan James","RB","SF","258","RB68"
"Juwan Johnson","TE","NO","259","TE29"
"Theo Johnson","TE","NYG","260","TE30"
"Ja'Tavion Sanders","TE","CAR","261","TE31"
"Kareem Hunt","RB","KC","262","RB69"
"Noah Brown","WR","WAS","263","WR76"
"Darius Slayton","WR","NYG","264","WR77"
"Jason Myers","K","SEA","265","K25"
"Keenan Allen","WR","FA","266","WR78"
"Anthony Richardson","QB","IND","267","QB32"
"Cam Little","K","JAX","268","K26"
"Will Dissly","TE","LAC","269","TE32"
"Elijah Arroyo","TE","SEA","270","TE33"
"Joey Slye","K","TEN","271","K27"
"Dyami Brown","WR","JAX","272","WR79"
"Tyler Higbee","TE","LA","273","TE34"
"Samaje Perine","RB","CIN","274","RB70"
"Tyler Lockett","WR","TEN","275","WR80"
"Graham Gano","K","NYG","276","K28"
"Matthew Wright","K","CAR","277","K29"
"Tutu Atwell","WR","LA","278","WR81"
"Zack Moss","RB","CIN","279","RB71"
"Terrance Ferguson","TE","LA","280","TE35"
"Jalen Coker","WR","CAR","281","WR82"
"Raheem Mostert","RB","LV","282","RB72"
"Calvin Austin III","WR","PIT","283","WR83"
"Anders Carlson","K","NYJ","284","K30"
"Jalen Tolbert","WR","DAL","285","WR84"
"Andrei Iosivas","WR","CIN","286","WR85"
"Ollie Gordon II","RB","MIA","287","RB73"
"Harold Fannin Jr.","TE","CLE","288","TE36"
"Trevor Etienne","RB","CAR","289","RB74"
"Isaac TeSlaa","WR","DET","290","WR86"
"Parker Washington","WR","JAX","291","WR87"
"DeAndre Hopkins","WR","BAL","292","WR88"
"J.K. Dobbins","RB","FA","293","RB75"
"Dont'e Thornton Jr.","WR","LV","294","WR89"
"Jordan Whittington","WR","LA","295","WR90"
"Isaiah Davis","RB","NYJ","296","RB76"
"Dontayvion Wicks","WR","GB","297","WR91"
"Brandin Cooks","WR","NO","298","WR92"
"Pat Bryant","WR","DEN","299","WR93"
"Greg Dortch","WR","ARI","300","WR94"
